Mordicai_Gerstein,The_Man_Who_Walked_Between_the_Towers,
Eric_Rohmann,My_Friend_Rabbit,"Riverside,_Illinois"
David_Wiesner,The_Three_Pigs,"Bridgewater,_New_Jersey"
,So_You_Want_to_Be_President?,
Simms_Taback,Joseph_Had_a_Little_Overcoat,New_York_(state)
,Snowflake_Bentley_(book),
Paul_O._Zelinsky,Rapunzel_(book),
David_Wisniewski,Golem_(book),
Peggy_Rathmann,,
,Smoky_Night,
Allen_Say,,
Emily_Arnold_McCully,Mirette_on_the_High_Wire,
David_Wiesner,Tuesday_(book),"Bridgewater,_New_Jersey"
David_Macaulay,,Lancashire
Ed_Young_(illustrator),,Tianjin
