NULL,Calgary,Calgary_Region
Bow_Valley_College,Calgary,Calgary_Region
Grande_Prairie_Regional_College,"Grande_Prairie,_Alberta",
Grant_MacEwan_College,Edmonton,"Division_No._11,_Alberta"
Keyano_College,,
Lakeland_College_(Alberta),Lloydminster,Central_Alberta
Lethbridge_College,Lethbridge,Southern_Alberta
Medicine_Hat_College,,
Mount_Royal_College,Calgary,Calgary_Region
NorQuest_College,Edmonton,"Division_No._11,_Alberta"
Northern_Lakes_College,"Slave_Lake,_Alberta",
Portage_College,"Lac_La_Biche,_Alberta",
Red_Deer_College,"Red_Deer,_Alberta",Alberta
