,Animals_of_the_Bible,
,Mei_Li,
,Abraham_Lincoln_(book),
Robert_McCloskey,Make_Way_for_Ducklings,"Hamilton,_Ohio"
,The_Little_House,
James_Thurber,Many_Moons,"Columbus,_Ohio"
,Prayer_for_a_Child,
,The_Rooster_Crows,
,The_Little_Island_(book),
,"White_Snow,_Bright_Snow",
,The_Big_Snow,
Leo_Politi,Song_of_the_Swallows,
,The_Egg_Tree,
,The_Biggest_Bear,
Ludwig_Bemelmans,,Meran
,"Cinderella,_or_the_Little_Glass_Slipper",
,Frog_Went_A-Courting,
,A_Tree_Is_Nice,
Robert_McCloskey,Time_of_Wonder,"Hamilton,_Ohio"
,Nine_Days_to_Christmas,
,Once_a_Mouse,
Ezra_Jack_Keats,The_Snowy_Day,
Maurice_Sendak,Where_the_Wild_Things_Are,New_York_Magazine
,May_I_Bring_a_Friend?,
,Always_Room_for_One_More,
,Drummer_Hoff,
William_Steig,,"Brooklyn,_New_York"
,A_Story_a_Story,
,One_Fine_Day_(book),
,The_Funny_Little_Woman,
,Arrow_to_the_Sun,
,Why_Mosquitoes_Buzz_in_People's_Ears,
,The_Girl_Who_Loved_Wild_Horses,
,Fables_(book),
Chris_Van_Allsburg,Jumanji_(short_story),"East_Grand_Rapids,_Michigan"
Trina_Schart_Hyman,,
Chris_Van_Allsburg,The_Polar_Express,"East_Grand_Rapids,_Michigan"
John_Schoenherr,,New_York_City
Stephen_Gammell,,
David_Macaulay,,Lancashire
,Tuesday_(book),
,Mirette_on_the_High_Wire,
,Smoky_Night,
,Golem_(book),
,Rapunzel_(book),
,Snowflake_Bentley_(book),
Simms_Taback,,New_York_(state)
Eric_Rohmann,,"Riverside,_Illinois"
