Hendrik_Willem_van_Loon,The_Story_of_Mankind,
Hugh_Lofting,The_Voyages_of_Doctor_Dolittle,Maidenhead
Charles_Hawes,The_Dark_Frigate,
Charles_Finger,Tales_from_Silver_Lands,
Arthur_Bowie_Chrisman,Shen_of_the_Sea,
Will_James,Smoky_the_Cow_Horse,
Dhan_Gopal_Mukerji,"Gay_Neck,_the_Story_of_a_Pigeon",
Eric_P._Kelly,The_Trumpeter_of_Krakow,
Rachel_Field,"Hitty,_Her_First_Hundred_Years",
Elizabeth_Coatsworth,The_Cat_Who_Went_to_Heaven,
Laura_Adams_Armer,Waterless_Mountain,
Elizabeth_Foreman_Lewis,Young_Fu_of_the_Upper_Yangtze,
Cornelia_Meigs,Invincible_Louisa,"Rock_Island,_Illinois"
Monica_Shannon,Dobry,"Belleville,_Ontario"
Carol_Ryrie_Brink,Caddie_Woodlawn,"Moscow,_Idaho"
Ruth_Sawyer,NULL,
Kate_Seredy,The_White_Stag,
Elizabeth_Enright,Thimble_Summer,"Oak_Park,_Illinois"
James_Daugherty,Daniel_Boone,
Armstrong_Sperry,Call_It_Courage,"New_Haven,_CT"
Walter_D._Edmonds,The_Matchlock_Gun,
Elizabeth_Gray_Vining,Adam_of_the_Road,
Esther_Forbes,Johnny_Tremain,"Westborough,_Massachusetts"
Robert_Lawson_(author),Rabbit_Hill,
Lois_Lenski,Strawberry_Girl,"Springfield,_Ohio"
Carolyn_Sherwin_Bailey,Miss_Hickory,New_York_(state)
William_Pène_du_Bois,The_Twenty-One_Balloons,
Marguerite_Henry,King_of_the_Wind,Milwaukee
Marguerite_de_Angeli,The_Door_in_the_Wall,"Lapeer,_Michigan"
Elizabeth_Yates,"Amos_Fortune,_Free_Man",
Eleanor_Estes,Ginger_Pye,
Ann_Nolan_Clark,Secret_of_the_Andes,
Joseph_Krumgold,?And_Now_Miguel,
Meindert_DeJong,The_Wheel_on_the_School,Wierum
Jean_Lee_Latham,"Carry_On,_Mr._Bowditch",
Virginia_Sorenson,Miracles_on_Maple_Hill,
Harold_Keith,Rifles_for_Watie,
Elizabeth_George_Speare,The_Witch_of_Blackbird_Pond,"Melrose,_Massachusetts"
Joseph_Krumgold,Onion_John,
,Island_of_the_Blue_Dolphins,
Elizabeth_George_Speare,The_Bronze_Bow,"Melrose,_Massachusetts"
,A_Wrinkle_in_Time,
Emily_Cheney_Neville,,
Maia_Wojciechowska,Shadow_of_a_Bull,
