Brock_University,,
Carleton_University,Ottawa,Ontario
Lakehead_University,"Thunder_Bay,_Ontario",
Laurentian_University,,
McMaster_University,"Hamilton,_Ontario",Ontario
Queen's_University,"Kingston,_Ontario",Ontario
Royal_Military_College_of_Canada,"Kingston,_Ontario",Ontario
University_of_Guelph,,
University_of_Ottawa,Ottawa,Ontario
University_of_Toronto,,
University_of_Western_Ontario,"London,_Ontario",
University_of_Windsor,"Windsor,_Ontario","Essex_County,_Ontario"
Wilfrid_Laurier_University,"Waterloo,_Ontario",Regional_Municipality_of_Waterloo
York_University,Toronto,East_York
